# T(K)  Delta_U_el(J/mol)  Cv_el(J/mol/K)
9.500000000000000000e+02 1.908522002191369609e+02 4.057356611891578257e-01
9.750000000000000000e+02 2.011230348553150407e+02 4.159230352118788998e-01
1.000000000000000000e+03 2.116480331201521494e+02 4.260721460851499276e-01
1.025000000000000000e+03 2.224264983906223847e+02 4.362040046844015140e-01
1.050000000000000000e+03 2.334582735899451507e+02 4.463406915524069651e-01
1.075000000000000000e+03 2.447437626709596259e+02 4.565049427464452636e-01
1.100000000000000000e+03 2.562839422468676958e+02 4.667197762925127114e-01
1.125000000000000000e+03 2.680803644149947900e+02 4.770081613677222832e-01
1.150000000000000000e+03 2.801351518505296667e+02 4.873927306760333367e-01
1.175000000000000000e+03 2.924509862421780895e+02 4.978955351901401816e-01
1.200000000000000000e+03 3.050310911100980888e+02 5.085378397116186999e-01
1.225000000000000000e+03 3.178792099960090809e+02 5.193399564231049315e-01
1.250000000000000000e+03 3.309995809507428817e+02 5.303211154733423749e-01
1.275000000000000000e+03 3.443969081721260181e+02 5.414993628175499563e-01
1.300000000000000000e+03 3.580763315313701582e+02 5.528915029317227336e-01
1.325000000000000000e+03 3.720433949478411364e+02 5.645130385413631435e-01
1.350000000000000000e+03 3.863040133674502385e+02 5.763781632324356252e-01
1.375000000000000000e+03 4.008644404380582387e+02 5.884997673549605679e-01
1.400000000000000000e+03 4.157312356203996160e+02 6.008894377016498201e-01
1.425000000000000000e+03 4.309112322886535935e+02 6.135575039098773997e-01
1.450000000000000000e+03 4.464115066907797882e+02 6.265130751044500901e-01
1.475000000000000000e+03 4.622393481097284962e+02 6.397640942013196330e-01
1.500000000000000000e+03 4.784022304301297481e+02 6.533173968122696351e-01
1.525000000000000000e+03 4.949077852592118916e+02 6.671787764875978244e-01
1.550000000000000000e+03 5.117637767271006624e+02 6.813530528738385161e-01
1.575000000000000000e+03 5.289780780082263618e+02 6.958441418987819649e-01
1.600000000000000000e+03 5.465586496239278631e+02 7.106551271503144251e-01
1.625000000000000000e+03 5.645135195151210610e+02 7.257883303273297004e-01
1.650000000000000000e+03 5.828507648666663954e+02 7.412453806689836000e-01
1.675000000000000000e+03 6.015784956408975859e+02 7.570272820899186517e-01
1.700000000000000000e+03 6.207048397577113974e+02 7.731344778967490505e-01
1.725000000000000000e+03 6.402379298475497080e+02 7.895669111213488023e-01
1.750000000000000000e+03 6.601858914898301691e+02 8.063240854720993278e-01
1.775000000000000000e+03 6.805568328779266949e+02 8.234051106354831617e-01
1.800000000000000000e+03 7.013588355834889398e+02 8.408087632250271781e-01
1.825000000000000000e+03 7.225999469742679366e+02 8.585335280253548751e-01
1.850000000000000000e+03 7.442881731422447729e+02 8.765776317242603977e-01
1.875000000000000000e+03 7.664314731978114423e+02 8.949390919028269442e-01
1.900000000000000000e+03 7.890377543341837736e+02 9.136157436971097390e-01
1.925000000000000000e+03 8.121148676786938267e+02 9.326052710146314206e-01
1.950000000000000000e+03 8.356706048303517491e+02 9.519052317845125843e-01
1.975000000000000000e+03 8.597126950005866775e+02 9.715130804744489534e-01
2.000000000000000000e+03 8.842488026698429167e+02 9.914261870566407620e-01
2.025000000000000000e+03 9.092865256810955543e+02 1.011641852960067478e+00
2.050000000000000000e+03 9.348333936956548769e+02 1.032157324200513759e+00
2.075000000000000000e+03 9.608968669454252449e+02 1.052969801957424290e+00
2.100000000000000000e+03 9.874843352193827286e+02 1.074076450817130990e+00
2.125000000000000000e+03 1.014603117030272529e+03 1.095474404955735004e+00
2.150000000000000000e+03 1.042260458911868000e+03 1.117160772458164475e+00
2.175000000000000000e+03 1.070463534803862785e+03 1.139132638042428702e+00
2.200000000000000000e+03 1.099219445485663982e+03 1.161387064227633381e+00
